date,region,temperature,rainfall,co2,sea_level,year,month,season,decade,temp_rolling_12,rain_rolling_12,z_score,anomaly
2001-06-01,North,16.70245543179008,17.074138205968097,373.6558692063741,0.2921735036163908,2001,6,Summer,2000,17.9795846622912,54.30579935983574,-1.3952078030419424,False
2001-07-01,North,14.44669464930643,33.76676211737184,373.5132205757369,-0.1880746263336722,2001,7,Summer,2000,17.882988115400604,54.41428191078878,-1.7637178787938905,False
2001-08-01,North,11.08035162516921,48.73140855889248,371.79543039162576,1.6338110032528748,2001,8,Summer,2000,17.961644681064453,55.792392012402395,-2.3136570977326962,True
2001-09-01,North,9.853249144817037,104.33702270397228,374.24912841271913,0.3475670421186606,2001,9,Autumn,2000,17.937056343168233,59.394080330366045,-2.5141214517109134,True
2001-10-01,North,11.181404983506592,66.3006623092431,373.8413444259232,1.166902643000591,2001,10,Autumn,2000,18.040972794448574,58.25276304298228,-2.2971486181877614,True
2001-11-01,North,13.591386051531636,86.02057196178528,379.08079779330177,1.047461758045109,2001,11,Autumn,2000,17.963656146260586,57.98080734939068,-1.9034445016719819,False
2001-12-01,North,15.881258590064956,84.18978491895986,377.1012140194053,0.9116946035814816,2001,12,Winter,2000,17.38265979917622,58.84694843019347,-1.529361793439007,False
2002-01-01,North,21.94019651947834,80.30634777624189,377.1016667892827,0.6812942811154468,2002,1,Winter,2000,17.39663741853694,60.59139223155069,-0.5395495346736388,False
2002-02-01,North,25.557774727583933,86.88593857325462,376.4172351769677,0.759849696086667,2002,2,Winter,2000,17.533022659494367,62.43761110768835,0.051432465660543096,False
2002-03-01,North,21.280760349138674,46.968223349873526,375.1878576383724,0.6416736856138678,2002,3,Spring,2000,17.197760307831988,60.96109222806706,-0.6472776568098372,False
2002-04-01,North,23.042325341531605,52.0492821845015,376.9856007406607,3.087766650064782,2002,4,Spring,2000,17.407543139634438,61.593934123534886,-0.3595013758187462,False
2002-05-01,North,21.81997917354238,34.88482957027217,375.24775361383166,1.5905133015474178,2002,5,Spring,2000,17.198153048955074,61.79291435252805,-0.5591887196446546,False
2002-06-01,North,17.82563313448949,32.03597064144817,382.7598451162246,0.9931692412832092,2002,6,Summer,2000,17.29175119084669,63.0397337221514,-1.211721015117143,False
2002-07-01,North,12.363448512968269,28.31994408996556,376.81805846591465,1.4046027111707722,2002,7,Summer,2000,17.118147346151844,62.585832219867534,-2.1040452740891813,True
2002-08-01,North,12.780780442809684,41.50629810915165,375.6563575577399,0.7523198561196671,2002,8,Summer,2000,17.25984974762188,61.983739682389135,-2.035868266015551,True
2002-09-01,North,9.50603510287537,38.78305379056516,373.5307000679375,2.0927219797026138,2002,9,Autumn,2000,17.230915244126745,56.520908939605214,-2.570843722038348,True
2002-10-01,North,12.963505827393158,86.78924343885961,374.9326415626088,-0.0292727793752121,2002,10,Autumn,2000,17.37942364778396,58.22829070040658,-2.0060175186147027,True
2002-11-01,North,14.129677143115533,77.97136302132542,372.8986073189069,2.590243662374273,2002,11,Autumn,2000,17.42428123874928,57.557523288701596,-1.8155071226393635,False
2002-12-01,North,17.842133741533853,88.95643651804322,372.02115553367145,1.523218106783801,2002,12,Winter,2000,17.587687501371693,57.95474425529188,-1.2090254101580138,False
2003-01-01,North,23.62655808639129,77.736351651042,376.2636961022738,0.3561487208046723,2003,1,Winter,2000,17.72821763194777,57.740577911525214,-0.26405878512525716,False
2003-02-01,North,24.35610556126549,64.13782714246877,381.3824544856486,0.991240880692964,2003,2,Winter,2000,17.628078534754568,55.844901958959724,-0.1448770007276548,False
2003-03-01,North,27.949807507836912,48.225843322852434,373.72792830043977,1.0898096551271317,2003,3,Spring,2000,18.183832464646084,55.94970362337464,0.4422044783212236,False
2003-04-01,North,24.909664274730243,63.448066060105646,375.8309952241028,2.711537088501696,2003,4,Spring,2000,18.339444042412637,56.89960227967498,-0.05444544210846184,False
2003-05-01,North,21.02799393223488,28.117230245362983,369.298362811648,0.9772168563515764,2003,5,Spring,2000,18.27344527230368,56.33563566926588,-0.6885705865229815,False
2003-06-01,North,13.9542257239033,16.756123586657104,377.5685796215171,0.5615517726246054,2003,6,Summer,2000,17.950827988088168,55.06231508136663,-1.8441695660539084,False
2003-07-01,North,14.82422299484441,26.09464098149025,378.5462722557671,3.1135978499152257,2003,7,Summer,2000,18.15589252824451,54.876873155660356,-1.7020433429596737,False
2003-08-01,North,12.732505747311787,34.99783122841204,378.7745052124751,1.235280482196768,2003,8,Summer,2000,18.15186963695302,54.33450091559872,-2.0437546127562927,True
2003-09-01,North,10.666812851120138,76.1131764161625,380.5171212819149,1.5896806909478225,2003,9,Autumn,2000,18.24860111597342,57.445344467731836,-2.381214440751756,True
2003-10-01,North,12.871210788337976,27.77300480179406,378.4796943741068,1.2298993457388172,2003,10,Autumn,2000,18.24090986271882,52.5273245813097,-2.021095204199921,True
2003-11-01,North,17.78379212003005,78.84785993223424,380.5235887791345,1.4812757835903858,2003,11,Autumn,2000,18.54541944412836,52.6003659905521,-1.218556330070624,False
2003-12-01,North,15.460534523723927,96.89566338614964,384.0760597445388,2.82661192265824,2003,12,Winter,2000,18.3469528426442,53.26196822956097,-1.5980929544565754,False
2004-01-01,North,23.53714590351625,81.53849668784969,375.7648372032527,1.934148722336116,2004,1,Winter,2000,18.339501827404614,53.57881364929494,-0.27866551583016386,False
2004-02-01,North,25.536171238826867,46.45841320482384,373.6585171355665,1.6614275570539176,2004,2,Winter,2000,18.43784063386806,52.1055291544912,0.04790323359826419,False
2004-03-01,North,26.14885864562564,53.75474752406316,379.4994877606723,3.167304698600705,2004,3,Spring,2000,18.28776156201712,52.56627117125876,0.14799429132251865,False
2004-04-01,North,26.247136320859195,62.43205188113888,379.34352782942335,1.9595201791353687,2004,4,Spring,2000,18.399217565861203,52.481603323011534,0.1640493242082164,False
2004-05-01,North,24.66313320623047,34.79711764521096,380.6251814674541,1.8779113050603355,2004,5,Spring,2000,18.702145838694168,53.038260606332194,-0.09471974044431332,False
2004-06-01,North,19.876682752581125,24.66296820685995,380.7108763937477,1.0317107654076505,2004,6,Summer,2000,19.19568392441732,53.69716432468243,-0.8766533714187887,False
2004-07-01,North,14.7036837006211,35.335701659655506,381.2655308597366,2.4683333315579863,2004,7,Summer,2000,19.185638983232042,54.467252714529536,-1.721735122686605,False
2004-08-01,North,14.66737513426038,32.20532159753242,379.02070005336105,1.1046162018846886,2004,8,Summer,2000,19.346878098811093,54.23454357862291,-1.7276666348593195,False
2004-09-01,North,13.89822080661519,59.71641954448068,382.8188952725343,2.335218574433401,2004,9,Autumn,2000,19.616162095102347,52.86814717264942,-1.8533187526487738,False
2004-10-01,North,11.852860719351431,44.40806637921452,381.5435323693909,1.4041245873138777,2004,10,Autumn,2000,19.53129958935347,54.25440230410112,-2.187456931905395,True
2004-11-01,North,12.540553891743905,85.23964456425568,381.1798230269862,2.2296227272547577,2004,11,Autumn,2000,19.094363070329624,54.78705102343625,-2.075112633245577,True
2004-12-01,North,17.72546118046136,73.32888945399033,385.3918866813739,1.5738100160945194,2004,12,Winter,2000,19.283106958391077,52.823153195756305,-1.2280855049397221,False
2005-01-01,North,20.99421349675525,76.90022797007121,379.5319269808177,1.75618552987538,2005,1,Winter,2000,19.071195924494326,52.4366308026081,-0.694089093154623,False
2005-02-01,North,23.67664852124692,55.621551761916216,381.391568002492,0.972917805610567,2005,2,Winter,2000,18.91623569802933,53.20022568236579,-0.255875811963195,False
2005-03-01,North,23.623595218657268,61.796596691634186,382.0930281271062,2.624225268877485,2005,3,Spring,2000,18.7057970791153,53.870379779663374,-0.2645428110120384,False
2005-04-01,North,25.01704795517567,51.371584649446255,381.8256422412935,1.3861280774802935,2005,4,Spring,2000,18.60328971530834,52.948674177022326,-0.03690281590325874,False
2005-05-01,North,24.189328915166147,23.97342776410187,385.6838296800197,1.9774925601411304,2005,5,Spring,2000,18.563806024386313,52.04670002026324,-0.1721222986178225,False
2005-06-01,North,19.0861563291866,22.156243080306965,387.0971499659349,2.4326647469639227,2005,6,Summer,2000,18.49792882243677,51.837806259717155,-1.005796919986153,False
2005-07-01,North,14.390014747764877,44.31099254711764,381.3509530764266,1.8555269051664036,2005,7,Summer,2000,18.471789743032083,52.58574716700567,-1.7729773335077426,False
2005-08-01,North,13.212150413504755,45.944092872498274,383.3959100833897,2.046777363004906,2005,8,Summer,2000,18.350521016302448,53.73064477325281,-1.9653979476146202,False
2005-09-01,North,11.027437943955492,80.39257791210892,387.0919839469256,2.107062726293156,2005,9,Autumn,2000,18.111289111080808,55.45365797055516,-2.3223012876768587,True
2005-10-01,North,13.050181140634038,69.49572729299405,387.8264461580583,3.3067953734121733,2005,10,Autumn,2000,18.211065812854358,57.5442963800368,-1.9918578938458684,False
2005-11-01,North,12.499076802868412,98.86174602560064,383.3418957185701,2.824366503056887,2005,11,Autumn,2000,18.207609388781396,58.67947150181555,-2.0818884958645953,True
2005-12-01,North,20.54901900651514,81.5595070172548,384.52010267139616,2.1480631555041927,2005,12,Winter,2000,18.44290587428588,59.36535629875425,-0.7668178401905119,False
2006-01-01,North,23.043131756258585,58.6234545668468,390.2549380062825,1.748701640012768,2006,1,Winter,2000,18.613649062577824,57.84229184848555,-0.3593696366935541,False
2006-02-01,North,23.884752446033456,85.73748159391383,384.7092566702107,3.306577408469127,2006,2,Winter,2000,18.630991056310034,60.351952667818686,-0.22187912504370358,False
2006-03-01,North,25.183467520067957,65.4531279300761,384.21035047962334,2.536265263680168,2006,3,Spring,2000,18.760980414760926,60.656663604355515,-0.00971585222285466,False
2006-04-01,North,23.25629232868985,29.39674974730695,384.8959349142827,1.994919039348261,2006,4,Spring,2000,18.61425077922044,58.825427362510574,-0.32454687565260454,False
2006-05-01,North,22.66137979606549,31.107643292540278,387.199228056463,2.708303857951324,2006,5,Spring,2000,18.486921685962056,59.419945323213774,-0.421734159058519,False
2006-06-01,North,18.569912974250208,28.2743440666809,387.56712265835534,3.0247257819926148,2006,6,Summer,2000,18.443901406384022,59.92978707207826,-1.0901324928497744,False
2006-07-01,North,13.798324192644875,14.16037281015915,386.3341650590237,2.387861123581128,2006,7,Summer,2000,18.394593860124022,57.41723542733172,-1.8696382618216534,False
2006-08-01,North,12.991194497809794,32.24991332541923,384.0436222071996,1.9297179190531024,2006,8,Summer,2000,18.37618086714944,56.27605379840847,-2.001494187013259,True
2006-09-01,North,15.562654932954606,48.75983271111421,387.003901420315,3.95286430727103,2006,9,Autumn,2000,18.7541156162327,53.63999169832558,-1.5814101572230925,False
2006-10-01,North,13.905858144781687,66.10622052867309,382.6619937012062,3.251780794997297,2006,10,Autumn,2000,18.825422033245005,53.35753280129884,-1.852071086633772,False
2006-11-01,North,10.695265457461783,56.4692071278587,388.39371051119576,2.9716428421998207,2006,11,Autumn,2000,18.675104421127788,49.824821226486996,-2.3765663095315848,True
2006-12-01,North,19.735643253482525,85.07503485159135,391.7083012242058,4.038728508806118,2006,12,Winter,2000,18.607323108375066,50.11778187934838,-0.8996941463539823,False
2007-01-01,North,21.439437180840475,61.1998902993191,382.7311439052921,2.973659462662968,2007,1,Winter,2000,18.473681893756893,50.3324848570544,-0.6213555768957922,False
2007-02-01,North,23.487379406465237,71.67742665703261,393.9594435587226,1.8472960730313448,2007,2,Winter,2000,18.440567473792875,49.16081361231431,-0.28679556922083677,False
2007-03-01,North,27.440809932900216,49.23108130476851,389.2892302801628,2.219205201739668,2007,3,Spring,2000,18.628679341528894,47.80897639353867,0.3590526049692277,False
2007-04-01,North,22.627837362812425,30.67370930965706,387.82432321097593,3.107575743401955,2007,4,Spring,2000,18.576308094372447,47.91538969040118,-0.42721378469744953,False
2007-05-01,North,24.190894886323733,33.295497127047845,388.4440066551881,2.791686123714273,2007,5,Spring,2000,18.703767685227298,48.09771084327681,-0.17186647532557078,False
2007-06-01,North,19.82887641414929,37.34920927080599,382.2797336208153,3.3675448972714,2007,6,Summer,2000,18.808681305218887,48.85394961028723,-0.884463205481753,False
2007-07-01,North,12.726625650751007,20.670425584861675,383.32302019743537,2.903940561171084,2007,7,Summer,2000,18.7193730933944,49.39645400817912,-2.0447152087759894,True
2007-08-01,North,12.694972041066697,49.23104975745005,390.4310270495381,3.251934312122575,2007,8,Summer,2000,18.694687888665808,50.81154871084835,-2.0498862686654804,True
2007-09-01,North,10.03397925590822,66.43754043206928,389.246241018736,2.929298460269439,2007,9,Autumn,2000,18.233964915578607,52.28469102092794,-2.484596660143458,True
2007-10-01,North,12.371469140019324,73.03820558679305,385.8715239067664,2.6830989925173743,2007,10,Autumn,2000,18.106099165181742,52.862356442437935,-2.102734992473722,True
2007-11-01,North,16.298571756044947,82.58533235883377,391.3938498606448,2.9329885208016777,2007,11,Autumn,2000,18.57304135673034,55.038700211685864,-1.4611878507045954,False
2007-12-01,North,20.94176494938943,78.5536244175436,387.9314801438763,2.938147958657096,2007,12,Winter,2000,18.673551498055918,54.495249342181886,-0.7026572969787792,False
2008-01-01,North,23.230808864513182,98.01666943154495,387.2655270022411,2.488741707682008,2008,1,Winter,2000,18.82283247169531,57.56331426986736,-0.3287099559699358,False
2008-02-01,North,23.97899714705956,10.752803385475984,389.85132710451353,5.245500108378986,2008,2,Winter,2000,18.863800616744836,52.48626233057098,-0.2064829349050888,False
2008-03-01,North,27.86295890622105,61.72425018895093,388.0253208859481,3.301571592482476,2008,3,Spring,2000,18.898979697854905,53.52735973758619,0.42801654447250476,False
2008-04-01,North,24.371791388362603,36.04610757068754,390.8470985346712,3.1924982657907552,2008,4,Spring,2000,19.044309199984088,53.97505959267206,-0.14231450146945582,False
2008-05-01,North,20.48323059054468,44.90611671914421,388.008742603356,3.962542662205499,2008,5,Spring,2000,18.735337175335832,54.94261122534675,-0.7775652981395693,False
2008-06-01,North,20.68449685382226,24.526322491398957,390.0363066156064,4.100192152757961,2008,6,Summer,2000,18.806638878641916,53.87403732706284,-0.7446856388677775,False
2008-07-01,North,16.384363347276977,15.453645662307636,392.9970653627798,3.0812487801792536,2008,7,Summer,2000,19.11145035335241,53.43930566685,-1.4471725942867644,False
2008-08-01,North,13.797380527685368,41.14211888816196,396.29162906599714,2.464488172612024,2008,8,Summer,2000,19.2033177272373,52.765228094409316,-1.8697924226920848,False
2008-09-01,North,10.763638416475432,43.82054843633049,387.3932409911501,2.3021224240741835,2008,9,Autumn,2000,19.264122657284567,50.8804787614311,-2.3653966303257237,True
2008-10-01,North,11.190630172062292,83.65389755519094,391.7577641652514,4.491550580947575,2008,10,Autumn,2000,19.165719409954814,51.76511975879759,-2.295641554601992,True
2008-11-01,North,13.62345012522414,107.20903838931704,395.1792933079704,3.6974534985067034,2008,11,Autumn,2000,18.942792607386416,53.81709526133785,-1.898206386745482,False
2008-12-01,North,18.123878749127087,92.21634718353847,391.5590831009214,4.411059844060068,2008,12,Winter,2000,18.70796875736455,54.955655491837426,-1.1629984223244012,False
2009-01-01,North,22.436456160903976,89.49157712375819,387.54369092450565,4.018691846593994,2009,1,Winter,2000,18.641772698730453,54.245231132855196,-0.45847858092957944,False
2009-02-01,North,26.50776266139936,50.19308230725488,392.1580386312438,4.499805087481381,2009,2,Winter,2000,18.85250315825877,57.53192104300344,0.20662628238623013,False
2009-03-01,North,28.0697274471757,59.203245871845205,391.3104760859951,3.109728123996661,2009,3,Spring,2000,18.86973387000499,57.3218373499113,0.461795077764685,False
2009-04-01,North,26.35855137233697,45.66782550264863,395.618425636805,4.5557776783068,2009,4,Spring,2000,19.035297202002855,58.12364717757472,0.1822505312594252,False
2009-05-01,North,22.202083413462933,41.63669147026116,395.3630257287772,3.450972564511258,2009,5,Spring,2000,19.17853493724604,57.85119507350114,-0.4967666474587779,False
2009-06-01,North,19.588981208268045,17.240201917083333,392.550275676273,4.188550472015419,2009,6,Summer,2000,19.08724196678319,57.244018358974834,-0.9236534428412708,False
2009-07-01,North,17.08563661631978,41.3225380275988,389.4041307017847,3.661392760613318,2009,7,Summer,2000,19.14568140587009,59.399759389415756,-1.3326097968906483,False
2009-08-01,North,13.734051943898685,47.2279983146392,395.3754461988214,4.4027006844801,2009,8,Summer,2000,19.140404023887864,59.90691600828887,-1.880138032647587,False
2009-09-01,North,12.183825006242891,48.2075808328656,397.72737566582987,4.045405867534405,2009,9,Autumn,2000,19.25875290636849,60.27250204133346,-2.1333892863551096,True
2009-10-01,North,14.61774884763532,59.834541752245606,395.179056626177,3.162078870448201,2009,10,Autumn,2000,19.544346129332904,58.28755572442134,-1.7357737829157518,False
2009-11-01,North,17.881456557677595,74.29363794126944,388.96303548960174,3.437291859697683,2009,11,Autumn,2000,19.899179998704028,55.544605687084044,-1.20260147812212,False
2009-12-01,North,19.11299173528148,95.07592170430262,394.3762180365088,4.467616111833539,2009,12,Winter,2000,19.981606080883562,55.782903563814386,-1.0014129810465062,False
2010-01-01,North,20.483298423194675,78.00977151855871,390.92010468563495,4.301658743990543,2010,1,Winter,2010,19.818842936074454,54.82608643004776,-0.7775542167273989,False
2010-02-01,North,26.03859697972244,58.51171665918324,388.9016065799034,3.989394285118523,2010,2,Winter,2010,19.77974579593471,55.519305959375124,0.12998150593763066,False
2010-03-01,North,25.141433037449,78.02911897723112,396.86430679205887,3.853874816303245,2010,3,Spring,2010,19.535721261790815,57.08812871815729,-0.01658277290628379,False
2010-04-01,North,24.322127761519223,41.44766867094904,397.8113325848348,4.787325342250481,2010,4,Spring,2010,19.36601929422267,56.73644898218233,-0.15042774957283842,False
2010-05-01,North,23.361870539487835,38.09581676853872,394.0917117104185,4.425437754152104,2010,5,Spring,2010,19.462668221391414,56.441376090372124,-0.30729919816790074,False
2010-06-01,North,16.766518377785044,24.2050093419996,395.89381560959305,3.9639114075636743,2010,6,Summer,2010,19.227462985517832,57.02177670911514,-1.3847422247479961,False
2010-07-01,North,16.93163671271408,38.66778017326362,395.0328091888068,3.9454618340325465,2010,7,Summer,2010,19.214629660217355,56.80054688792055,-1.3577678351827427,False
2010-08-01,North,14.7249787162538,20.88081996796227,397.9472174880562,4.4099165770273245,2010,8,Summer,2010,19.297206891246947,54.60494869236413,-1.718256284023888,False
2010-09-01,North,14.403403467665,58.178150656291365,400.7059910567852,4.819622573660713,2010,9,Autumn,2010,19.482171763032124,55.435829510982934,-1.7707900988404284,False
2010-10-01,North,17.68047671578541,78.95857528718494,396.4404036460846,4.501082872797795,2010,10,Autumn,2010,19.737399085377966,57.02949897222789,-1.2354343464543542,False
2010-11-01,North,17.772439330828036,72.41439340466304,394.72535605625006,2.810771894639931,2010,11,Autumn,2010,19.728314316473835,56.872895260844025,-1.2204109669812913,False
2010-12-01,North,18.94829647003892,97.533844771177,400.1489303643268,4.218997980992713,2010,12,Winter,2010,19.714589711036954,57.07772218308356,-1.0283182562608841,False
2011-01-01,North,21.675437749683105,68.73959172768242,391.5658042472311,3.774822917847538,2011,1,Winter,2010,19.81393465491099,56.30520720051053,-0.5828015829718683,False
2011-02-01,North,27.036229184358287,66.86011155774491,396.47634072586897,5.127373644516623,2011,2,Winter,2010,19.897070671963977,57.00090677539068,0.29295868071507364,False
2011-03-01,North,28.24194408013709,71.21108557787716,392.8750991558567,4.741774074851498,2011,3,Spring,2010,20.155446592187985,56.4327373254445,0.489929073599328,False
2011-04-01,North,24.789835848261948,52.89016531107552,400.5512606199746,4.325477594375367,2011,4,Spring,2010,20.194422266083212,57.386278712121715,-0.0740210916445129,False
2011-05-01,North,22.144704969138303,23.71508806477125,403.09344091258174,5.416486811096651,2011,5,Spring,2010,20.09299180188742,56.18788465347442,-0.5061402189069515,False
2011-06-01,North,18.78609583332186,23.12298440064016,398.1146634768122,5.029119752990918,2011,6,Summer,2010,20.261289923182154,56.09771590836113,-1.0548159990125807,False
2011-07-01,North,13.708034221059464,18.17788568974727,399.810252091398,4.164521346016271,2011,7,Summer,2010,19.992656382210935,54.39022470140144,-1.8843883915902662,False
2011-08-01,North,12.88116635485829,43.23787951638897,397.7589427598181,5.696875291413659,2011,8,Summer,2010,19.83900535209464,56.25331299710367,-2.0194688231576388,True
2011-09-01,North,14.533424725302098,43.68183857867304,393.9015093308399,5.223783986853279,2011,9,Autumn,2010,19.849840456897734,55.045286990635475,-1.7495493077630802,False
2011-10-01,North,14.77849722718524,74.07274031107298,400.86668672397286,5.753506913311972,2011,10,Autumn,2010,19.60800883284772,54.63813407595948,-1.7095132866854195,False
2011-11-01,North,15.685547283963782,70.91312143317161,396.6761491972991,5.3164688622930685,2011,11,Autumn,2010,19.4341011622757,54.51302807833519,-1.5613339727573514,False
2011-12-01,North,19.983538695227864,83.46436548156149,395.2003596475502,5.527377496219056,2011,12,Winter,2010,19.52037134770811,53.340571470867225,-0.859196958564612,False
2012-01-01,North,23.601212765372917,75.23491373264203,400.1450558869921,5.073567835198175,2012,1,Winter,2010,19.680852599015594,53.88184830461387,-0.26819929782543583,False
2012-02-01,North,25.17717076612033,70.94089992898307,401.6840793746495,4.356439290412258,2012,2,Winter,2010,19.52593106416243,54.221914002217055,-0.010744515054591858,False
2012-03-01,North,30.579815385225807,56.27802697366783,400.1177556669701,4.741936228880931,2012,3,Spring,2010,19.720753672919823,52.977492451866276,0.8718530517207949,False
2012-04-01,North,25.031420544750148,48.31215493342874,401.0957485279801,5.111379328500076,2012,4,Spring,2010,19.74088573096051,52.59599158706237,-0.03455485236298874,False
2012-05-01,North,22.51635322153841,39.52230848189864,400.7593096434761,5.584471823616799,2012,5,Spring,2010,19.771856418660516,53.91325995515632,-0.44542627853325195,False
2012-06-01,North,20.391176342067247,29.43307664128366,398.94077913015553,6.299446633568413,2012,6,Summer,2010,19.90561312772263,54.439100975209946,-0.7926036472159094,False
2012-07-01,North,15.207577684600334,37.15318693110695,401.0069207299827,5.732904274857411,2012,7,Summer,2010,20.030575083017705,56.02037607865659,-1.639416992302811,False
2012-08-01,North,17.663334006560966,36.18226737015159,404.2662986792492,3.5480935094043597,2012,8,Summer,2010,20.42908905399293,55.43240839980347,-1.2382348477858554,False
2012-09-01,North,13.099129637582058,62.09003757588512,400.17566076428193,6.328082050814631,2012,9,Autumn,2010,20.30956446334959,56.96642498290447,-1.9838614722136072,False
2012-10-01,North,11.872242498096238,65.83902131563472,398.7479189800808,5.344997678027022,2012,10,Autumn,2010,20.06737656925884,56.28028173328462,-2.184290647249275,True
2012-11-01,North,15.723343193499304,60.35330399650897,399.6692342018773,3.693284471359731,2012,11,Autumn,2010,20.0705262283868,55.40029694689607,-1.5551594822731638,False
2012-12-01,North,20.380983947530424,87.78872163931835,400.93955755725466,5.025296696252299,2012,12,Winter,2010,20.10364666607868,55.76065996004248,-0.7942687174272651,False
2013-01-01,North,23.366956445273203,32.665064414038866,404.95849575441787,6.074153603402971,2013,1,Winter,2010,20.084125306070373,52.213172516825544,-0.3064683443199277,False
2013-02-01,North,27.378575513053185,69.91585738693763,397.9365703358257,4.719876340657582,2013,2,Winter,2010,20.267575701648113,52.12775230498843,0.3488857419976334,False
2013-03-01,North,27.38864749506901,56.32780698264156,405.8542405213337,6.498201500610592,2013,3,Spring,2010,20.001645044135042,52.13190063906956,0.3505311411394416,False
2013-04-01,North,26.174925037437472,46.221203572550806,403.09516735961273,6.480590645998074,2013,4,Spring,2010,20.09693708519232,51.95765469232975,0.15225260102261978,False
2013-05-01,North,25.31206980126291,35.39263529626875,400.55074772131593,5.5831265852932495,2013,5,Spring,2010,20.32991346683603,51.613515260193914,0.011293129205063835,False
2013-06-01,North,22.357101353479905,37.75082821035963,408.121397819948,5.338172992600351,2013,6,Summer,2010,20.493740551120414,52.30666122428358,-0.47144229867935267,False
2013-07-01,North,16.18352089279997,41.17894045247973,403.6649777748988,4.271812059578346,2013,7,Summer,2010,20.57506915180372,52.64214068439798,-1.479983018463055,False
2013-08-01,North,13.316583807280123,26.880390234557478,403.8056797267574,5.411070210154615,2013,8,Summer,2010,20.212839968530314,51.866984256431806,-1.9483372920034248,False
2013-09-01,North,13.50496161046349,65.3133999426431,404.9844576024003,6.277686684594302,2013,9,Autumn,2010,20.246659299603767,52.135597786994964,-1.9175631429623836,False
2013-10-01,North,13.344584830539445,69.7661610545846,406.9217725275273,4.694523531715422,2013,10,Autumn,2010,20.369354493974036,52.462859431907454,-1.9437629331961654,False
2013-11-01,North,14.703891347707682,63.76091308084216,406.3158172144936,5.721231951467885,2013,11,Autumn,2010,20.284400173491402,52.74682685560189,-1.7217012006305963,False
2013-12-01,North,22.3279266438154,95.75644482625772,403.97660227566087,4.217724509259472,2013,12,Winter,2010,20.44664539818182,53.41080378784684,-0.4762083955775667,False
2014-01-01,North,23.23608421197348,70.7734763750662,407.45563986512127,7.143147961853128,2014,1,Winter,2010,20.43573937874017,56.58650478459911,-0.32784815417459123,False
2014-02-01,North,24.866647342803077,52.7378228541126,408.091913700786,6.99132809205183,2014,2,Winter,2010,20.22641203121933,55.155001906863696,-0.061472859628170104,False
